experiment_id,routing,retrieval,masking,prompt,model,n_processed,exec_success_rate_runtime,spider_exec_accuracy_overall,easy_acc,medium_acc,hard_acc,extra_acc,total_cost_usd,wall_time_seconds
haiku_fewshot_control_nomask,oracle,hybrid,False,few_shot,claude-haiku-4-5-20251001,320,1.0,0.659,0.887,0.675,0.675,0.4,0.25604399999999977,340
haiku_fewshot_hardmask_nohints,oracle,hybrid,True,few_shot,claude-haiku-4-5-20251001,320,1.0,0.212,0.375,0.113,0.212,0.15,0.2632229999999999,388
haiku_fewshot_hardmask_hints,oracle,hybrid,True,few_shot,claude-haiku-4-5-20251001,320,0.996875,0.388,0.463,0.45,0.412,0.225,0.2935600000000002,518
haiku_fewshot_semantic_nohints,oracle,hybrid,True,few_shot,claude-haiku-4-5-20251001,320,0.996875,0.275,0.362,0.212,0.237,0.287,0.3263669999999998,358
haiku_fewshot_semantic_hints,oracle,hybrid,True,few_shot,claude-haiku-4-5-20251001,320,0.99375,0.362,0.412,0.362,0.425,0.25,0.3694620000000001,475
