experiment_id,routing,retrieval,masking,prompt,model,n_processed,exec_success_rate_runtime,spider_exec_accuracy_overall,easy_acc,medium_acc,hard_acc,extra_acc,total_cost_usd,wall_time_seconds
final_mr0_oracle_nomask,oracle,hybrid,False,few_shot,claude-haiku-4-5-20251001,320,0.996875,0.55,0.863,0.55,0.537,0.25,0.40069774999999996,392
final_mr0_oracle_semantic,oracle,hybrid,True,few_shot,claude-haiku-4-5-20251001,320,0.996875,0.219,0.375,0.2,0.188,0.113,0.54757,468
final_mr0_oracle_hard,oracle,hybrid,True,few_shot,claude-haiku-4-5-20251001,320,0.990625,0.166,0.287,0.125,0.175,0.075,0.4416577500000002,420
final_mr0_oracle_semantic_hints,oracle,hybrid,True,few_shot,claude-haiku-4-5-20251001,320,0.96875,0.481,0.637,0.562,0.487,0.237,0.6570574999999999,553
final_mr0_broker_nomask,broker,hybrid,False,few_shot,claude-haiku-4-5-20251001,320,0.975,0.487,0.812,0.487,0.487,0.163,0.398481,479
final_mr0_broker_semantic,broker,hybrid,True,few_shot,claude-haiku-4-5-20251001,320,0.996875,0.212,0.362,0.188,0.237,0.062,0.5450015000000001,549
final_mr0_broker_hard,broker,hybrid,True,few_shot,claude-haiku-4-5-20251001,320,0.990625,0.166,0.3,0.113,0.188,0.062,0.4431897500000001,479
final_mr0_broker_semantic_hints,broker,hybrid,True,few_shot,claude-haiku-4-5-20251001,320,0.965625,0.447,0.588,0.525,0.438,0.237,0.6562877500000003,655
